ID,name,name_brief,LABEL,weight
2187,五、建立公众监督评价机制,五、建立公...,总结性措施,0.0074
3597,简并优化增值税、消费税等纳税申报表，并推进实施增值税申报“一表集成”、消费税“一键申报”,简并优化增...,描述性措施,0.0466
3346,制定税收规范性文件要充分评估可能产生的经济、社会等各方面综合影响，对违反公平竞争审查要求、可能不利于民营企业发展的，应调整完善或不予出台,制定税收规...,描述性措施,0.0667
2326,全市税务系统要牢固树立以纳税人和缴费人为中心的服务理念，持续优化管理服务措施,全市税务系...,描述性措施,0.0439
3097,各区局要密切跟踪小微企业普惠性减税等政策措施实施情况，完善税收政策执行情况反馈机制，及时反馈政策执行中存在的问题和意见建议,各区局要密...,描述性措施,0.0881
1063,北京市公安局公安交通管理局,北京市公安...,机构,nan
1577,各行业主管部门依法加强对行业协会商会特别是银行、证券、保险、基金、期货、资产评估等履行法定职责的行业协会商会收费项目的成本审核，2020年10月31日前，要针对部分行业协会商会收费项目多、标准高、经费使用不透明等突出问题，督促指导所属行业协会商会综合考虑会员经营状况、承受能力、行业发展水平等因素，严格核定成本，合理制定收费标准，防止过高收费,各行业主管...,描述性措施,0.2078
3754,协议采购项目的采购意向由北京市政府采购中心负责公开,协议采购项...,描述性措施,0.0386
938,(四)创新智能咨询服务模式,(四)创新...,总结性措施,0.0639
42,二、推动线上申请与审批,二、推动线...,总结性措施,0.0996
815,各区住房城乡建设委(房管局)会同相关部门组织实施共有产权住房面向人才配售工作，,各区住房城...,描述性措施,0.0469
3252,银行应了解合作的第三方机构向企业收费情况，评估企业融资综合成本，不与收费标准过高的第三方机构合作,银行应了解...,描述性措施,0.0724
1077,建立线上续贷机制，做到能续快续、应续尽续,建立线上续...,描述性措施,0.0168
1595,第四十七条　公路养护工程参照执行《公路水运工程质量监督管理规定》和《公路水运工程安全生产监督管理办法》的相关规定,第四十七条...,描述性措施,0.0338
1086,五、贷款发放完成后，受托银行应在5个工作日内告知并确保借款人了解贷款发放日、还款日、最低还款额等还款信息，通知借款人领取借款合同等资料,五、贷款发...,描述性措施,0.0861
3011,3.深化“两步申报”模式改革,3.深化“...,总结性措施,0.0451
2909,(十四)健全完善纳税信用管理制度,(十四)健...,总结性措施,0.1222
1761,要进一步加强政务服务大厅建设，广泛开展“小小窗口，满满服务”专项行动，不断提高一线工作人员的服务意识和业务水平,要进一步加...,描述性措施,0.0728
1125,对民营企业因经营困难一时无力缴清税款、滞纳金或无法提供担保等原因，不符合行政复议受理条件的，复议机关在依法处理的同时，要甄别情况，发现主管税务机关税收执法行为确有错误的，应及时督促其依法纠正,对民营企业...,描述性措施,0.1139
2918,第六十条　需要在特定区域或者时段，对监管对象实施不同监管部门多项监管内容检查的，应当采用联合检查的方式，由牵头部门组织、多部门参加，按照同一时间、针对同一对象，实施一次检查，完成所有检查内容,第六十条　...,描述性措施,0.0967
3174,(八)提供业务办理时长查询功能,(八)提供...,总结性措施,0.0613
3435,北京市高级人民法院诉讼服务部门负责全市法院对外委托工作的组织协调、监督指导和统一管理，利用对外委托平台构建包括专业机构业务能力、工作质效、服务水平等标准在内的动态管理和考核评价机制,北京市高级...,描述性措施,0.0994
2283,各公路分局应结合设施运行状况编制中修计划，并按要求上报至市交通委,各公路分局...,描述性措施,0.0441
504,加大公平竞争审查制度培训和宣传力度,加大公平竞...,描述性措施,0.0146
1918,为进一步优化营商环境，切实提高工程质量风险管控水平，市住房城乡建设委组织编制了《北京市房屋建筑和市政基础设施工程质量风险分级管控技术指南(试行)》，,为进一步优...,总结性措施,0.0929
3327,民政部门负责行业协会商会收费情况日常年度检查、抽查审计及开展评比达标表彰活动,民政部门负...,描述性措施,0.0429
