:START_ID,:END_ID,:TYPE,weight
3169,1258,总结性措施,0.04417470998169836
3169,1880,描述性措施,0.029054425692524855
3169,3004,描述性措施,0.05959277846021549
3169,2990,描述性措施,0.08520716980376719
3169,525,描述性措施,0.023664122382508885
3169,2300,描述性措施,0.057807240360005105
3169,2422,描述性措施,0.08468197969933342
3169,2351,描述性措施,0.05336472068715481
3169,1480,描述性措施,0.1206946655310125
3169,195,描述性措施,0.03672375946373772
2189,1339,总结性措施,0.12008260240586861
2189,20,描述性措施,0.09736076617549906
2189,2927,描述性措施,0.1451329063929397
2189,1405,描述性措施,0.1145494184598417
2189,2993,描述性措施,0.011672102858809494
2189,3139,描述性措施,0.09710341859354633
2189,821,描述性措施,0.025879900949811123
2189,2385,总结性措施,0.24688585884086056
2385,1685,描述性措施,0.07432118237275094
2385,1767,描述性措施,0.08486649329646993
2385,3536,描述性措施,0.08769818317163967
2189,600,描述性措施,0.011807956172480344
2189,3383,描述性措施,0.11340992712224106
2189,1207,描述性措施,0.013831385531941222
2189,2200,描述性措施,0.07574752336717631
2189,2319,描述性措施,0.05448510734039373
2189,1888,描述性措施,0.07569294980176941
2189,3517,描述性措施,0.08824983911887396
2189,653,总结性措施,0.11487841553124495
2549,3727,总结性措施,0.1654264326483566
3727,3250,描述性措施,0.1654264326483566
2549,434,总结性措施,0.03280788623229008
2549,1239,总结性措施,0.22348186755496313
1239,617,描述性措施,0.1048284319017821
1239,2350,描述性措施,0.11865343565318104
2549,2912,总结性措施,0.0970966384658113
2912,1069,描述性措施,0.07748911108131921
2912,830,描述性措施,0.01960752738449209
2549,3228,总结性措施,0.21562920911785158
3228,2621,描述性措施,0.13362970055040113
3228,444,描述性措施,0.08199950856745043
2549,1765,总结性措施,0.05180372584671676
1765,219,描述性措施,0.05180372584671676
2549,2779,总结性措施,0.04661646249014584
2779,2550,描述性措施,0.04661646249014584
2549,1061,总结性措施,0.0368458562076681
1061,3747,描述性措施,0.0368458562076681
2549,925,总结性措施,0.04015219689578916
925,3291,描述性措施,0.04015219689578916
2549,559,总结性措施,0.21574633870338455
559,236,描述性措施,0.1904847079270249
559,3629,描述性措施,0.025261630776359654
2549,741,总结性措施,0.02527912233085056
2549,2070,总结性措施,0.19970318706101675
2070,2502,描述性措施,0.19970318706101675
2549,29,总结性措施,0.07544641431051409
29,2149,描述性措施,0.07544641431051409
2549,631,总结性措施,0.06499243133528185
631,2357,描述性措施,0.06499243133528185
2549,2330,总结性措施,0.01974317619760312
2549,710,总结性措施,0.05339985056181324
710,1865,描述性措施,0.05339985056181324
2549,2780,总结性措施,0.08521518915554196
2780,3203,描述性措施,0.06531891978879976
2780,3075,描述性措施,0.019896269366742197
2549,1839,描述性措施,0.08901310312690039
2549,2453,描述性措施,0.0457795728556992
2549,629,描述性措施,0.07998976331535966
1593,3670,描述性措施,0.10142299712042285
1593,3548,描述性措施,0.04636170109019136
1593,257,描述性措施,0.07943551395947451
1593,2288,描述性措施,0.04329311539289567
1593,1435,描述性措施,0.0674363851330344
1593,3522,描述性措施,0.06153987826969828
1593,3353,描述性措施,0.012100791495278974
1593,3213,总结性措施,0.06893445153593156
3213,1941,描述性措施,0.045223153839354414
3213,3700,描述性措施,0.02371129769657715
1593,520,总结性措施,0.09646839606011935
520,3407,描述性措施,0.09646839606011935
1593,1355,总结性措施,0.11423849398342535
1355,2182,描述性措施,0.11423849398342535
1593,392,总结性措施,0.1044753085135432
392,3155,描述性措施,0.048045956185214726
392,1527,描述性措施,0.05642935232832847
707,579,总结性措施,0.11742593765046257
707,679,总结性措施,0.04550628617657952
707,1755,描述性措施,0.03312858572579298
707,3322,描述性措施,0.04923726975077288
707,3408,描述性措施,0.13792109180273926
707,3543,描述性措施,0.05637862287208488
707,173,描述性措施,0.05996893653926495
707,2928,描述性措施,0.07960229076595751
707,2812,描述性措施,0.04111108554788832
707,673,总结性措施,0.017232152522414775
1808,2966,描述性措施,0.057356386228649775
1808,558,总结性措施,0.0428491418965415
558,3457,描述性措施,0.033361238895718626
558,1340,描述性措施,0.009487903000822874
3103,229,描述性措施,0.09413775276763088
3103,3673,描述性措施,0.06549864765764674
3103,3725,描述性措施,0.06007073285221608
3103,892,描述性措施,0.08086497569276274
3103,756,描述性措施,0.054669414556865685
3103,1812,描述性措施,0.11023538067998506
3103,411,描述性措施,0.10744380119444862
3103,1719,描述性措施,0.02521055326572523
3103,3315,描述性措施,0.05613420149986153
3103,3649,描述性措施,0.03000495812116475
3103,1409,描述性措施,0.06887603186375003
3103,1285,总结性措施,0.1043207154516753
1285,825,描述性措施,0.1043207154516753
3103,1892,总结性措施,0.07346126793762807
1892,2856,描述性措施,0.07346126793762807
3103,1742,总结性措施,0.00854151036698623
3103,1605,总结性措施,0.10944925498995342
1605,3743,描述性措施,0.10944925498995342
3103,1611,总结性措施,0.14524813049231405
1611,1362,描述性措施,0.02214859505516062
1611,2173,描述性措施,0.05762108876077875
1611,3128,描述性措施,0.06547844667637469
3103,1681,总结性措施,0.07944323210280167
1681,2321,描述性措施,0.07944323210280167
1648,2203,描述性措施,
1648,919,描述性措施,
2932,2576,总结性措施,0.13291947386636108
2576,2904,描述性措施,0.07651790987784553
2576,745,描述性措施,0.056401563988515556
2932,3016,总结性措施,0.207876732463534
3016,1054,描述性措施,0.04343776125141749
3016,2661,描述性措施,0.034596736685371866
3016,367,描述性措施,0.04843908844722292
3016,1278,描述性措施,0.08140314607952172
2932,1148,总结性措施,0.20504857361112655
1148,1859,描述性措施,0.06379947753500947
1148,2250,描述性措施,0.07088045876954467
1148,3618,描述性措施,0.030334994097322536
1148,277,描述性措施,0.040033643209249875
2932,1772,总结性措施,0.22343384507744762
1772,260,描述性措施,0.04326706998851865
1772,1955,描述性措施,0.041833239048479486
1772,869,描述性措施,0.07082816547742653
1772,1381,描述性措施,0.03708154143818281
1772,35,描述性措施,0.030423829124840138
2932,1178,总结性措施,0.14714461478773455
1178,1901,描述性措施,0.054888675427345116
1178,2106,描述性措施,0.05492300559161668
1178,1998,描述性措施,0.03733293376877276
2932,828,总结性措施,0.10956443118582566
828,1031,描述性措施,0.10956443118582566
2932,113,总结性措施,0.21153315397226116
113,1702,描述性措施,0.05001461523414095
113,502,描述性措施,0.10029463960644402
113,945,描述性措施,0.061223899131676196
2932,3034,总结性措施,0.011165108329755766
2932,2724,描述性措施,0.10313160583890393
2932,111,描述性措施,0.05150970615585119
2932,1051,描述性措施,0.04649442132681197
3091,1793,总结性措施,0.08362715645043488
3091,3598,描述性措施,0.0381228300088696
3091,3755,总结性措施,0.06540968235453787
3755,793,描述性措施,0.06540968235453787
3091,2500,总结性措施,0.06334266895525276
2500,167,描述性措施,0.06334266895525276
3091,385,总结性措施,0.08320254086505022
385,1785,描述性措施,0.08320254086505022
3091,3475,总结性措施,0.0811980791773178
3475,3159,描述性措施,0.03200502721834347
3475,2559,描述性措施,0.04919305195897434
1895,3143,描述性措施,0.15532229903521044
1895,1838,描述性措施,0.06687564812320855
1895,3213,总结性措施,0.06893445153593156
3213,805,描述性措施,0.030748813455393566
3213,2660,描述性措施,0.09481874895401242
3213,1287,描述性措施,0.0495804921157385
3213,1420,描述性措施,0.04651594374753748
1895,0,总结性措施,0.0841762108027289
0,3712,描述性措施,0.0841762108027289
1895,543,总结性措施,0.13199993927300843
543,1301,描述性措施,0.06852316315136633
543,230,描述性措施,0.06347677612164211
1895,2919,总结性措施,0.12749883338203133
2919,3295,描述性措施,0.12749883338203133
470,882,总结性措施,0.07193890979805437
470,3453,总结性措施,0.06179057503987044
180,643,总结性措施,0.07744952093233629
180,623,总结性措施,0.05065923597647078
180,56,总结性措施,0.08139536890873936
180,2361,总结性措施,0.02259951761449488
1825,1174,总结性措施,0.10767698318300252
1825,2119,描述性措施,0.0479050195383408
1825,2069,描述性措施,0.11398518488604834
1825,2590,描述性措施,0.18922165164036378
1825,1218,描述性措施,0.058060648162881215
1825,1815,描述性措施,0.10250423717272317
1825,3496,描述性措施,0.07571701684634455
1091,819,总结性措施,0.05912086641151309
1091,966,总结性措施,0.05663180956680925
1091,1083,描述性措施,0.10062573651004163
1091,1736,描述性措施,0.05380600919808952
1091,1532,描述性措施,0.08438326068665884
1091,1612,描述性措施,0.021105341970860024
1091,1809,描述性措施,0.02847754242149052
1091,1406,描述性措施,0.023215768555450707
1091,1475,总结性措施,0.08474590568911669
1475,418,描述性措施,0.05565160266160918
1475,1432,描述性措施,0.029094303027507516
1091,1234,描述性措施,0.16435094646078274
1091,3614,描述性措施,0.09456128549102039
1091,2184,描述性措施,0.08127619028321675
1091,2561,总结性措施,0.06613247730378215
2561,325,描述性措施,0.06613247730378215
1091,1782,总结性措施,0.07870694305427305
1782,2900,描述性措施,0.0350755777817726
1782,1638,描述性措施,0.02122901424256634
1782,1513,描述性措施,0.022402351029934105
