ID,name,name_brief,LABEL,weight
3597,(三)加强实施保障,(三)加强...,总结性措施,0.5930
3097,"逐步提升统一社会信用代码的社会认知度，真正实现市场主体""一照一码走天下""",逐步提升统...,描述性措施,0.3278
3100,集群登记托管机构违反有关部门制定的管理规定的，可以给予警示、暂停登记、撤销资格的相应惩戒,集群登记托...,描述性措施,0.3463
3614,北京市高级人民法院,北京市高级...,机构,nan
3615,北京市人民政府,北京市人民...,机构,nan
2085,为进一步加强进口冷链食品管理，北京市市场监督管理局、北京市商务局决定拓展北京市冷链食品追溯平台(以下简称“北京冷链”)追溯食品品种范围，,为进一步加...,总结性措施,5.9412
1063,"全面梳理、分类处理各类涉企证照事项，对于""证照分离""改革后属于信息采集、记载公示、管理备案查询的事项，",全面梳理、...,描述性措施,0.5477
1577,不断完善跨部门联合惩戒机制，建立健全信用约束机制，积极引导企业自律，加强社会监督，使优化营商环境改革成为推动形成新型市场监管体制机制的催化剂,不断完善跨...,描述性措施,0.7732
42,"优化完善""e窗通""网上企业开办平台，通过""一次填报、一网提交""，实现网上""一窗办理""","优化完善""...",描述性措施,0.4900
1077,各部门要切实落实各项改革举措，坚决兑现向社会的承诺事项，加强对政策落实情况的督促检查,各部门要切...,描述性措施,0.3989
1590,北京市人力资源和社会保障局,北京市人力...,机构,nan
59,大力引导企业通过手机下载电子营业执照，扩大电子营业执照应用覆盖面，,大力引导企...,描述性措施,0.3201
2108,四、大力推广寄递服务,四、大力推...,总结性措施,0.1218
2621,集群登记地址应向社会公示,集群登记地...,描述性措施,0.1428
1086,(二)加强宣传培训,(二)加强...,总结性措施,0.7599
1595,市区两级工作专班统筹推进进一步提高企业开办效率优化营商环境的有关工作，各部门加强沟通协作，确保各项改革举措落实到位，全力保障首都营商环境持续优化,市区两级工...,描述性措施,0.7421
69,北京市规划和国土资源管理委员会,北京市规划...,机构,nan
583,财政部,财政部...,机构,nan
2633,一、全面推广开办企业“网上办”“零见面”,一、全面推...,总结性措施,1.0877
586,推行开办企业网上“一网通办”,推行开办企...,描述性措施,0.1398
3663,国家市场监督管理总局,国家市场监...,机构,nan
2139,(四)加强工作落实,(四)加强...,总结性措施,0.6213
3678,未履行承诺的，责令其限期整改，整改后仍未达到条件的，撤销决定，并将有关情况纳入本市信用信息平台,未履行承诺...,描述性措施,0.2512
1125,"以习近平新时代中国特色社会主义思想为指导,全面贯彻落实党的十九大精神,紧密围绕首都城市新发展理念，按照党中央、国务院和市委、市政府的安排部署,以切实增强群众获得感为出发点，深化改革，对标一流，部门协力，市区联动，为群众提供更加便捷、高效和人性化的企业开办服务，全力促进首都高质量发展",以习近平新...,描述性措施,1.0719
3174,"按照""一数一源、信息共享、一步办理""的原则统一部门间信息共享交换标准，实现部门间数据实时共享","按照""一数...",描述性措施,0.4319
1129,涉嫌构成犯罪的，依法追究责任,涉嫌构成犯...,描述性措施,0.0934
2667,各单位要通过网络、媒体、广告屏等多种方式公布网上办事大厅网址及实名验证系统登录路径和办事流程，鼓励我市市场主体利用“e窗通”网上服务系统及APP在线申请办理营业执照、涉税事项、员工“五险一金”等业务,各单位要通...,描述性措施,1.0793
2157,北京市生态环境局,北京市生态...,机构,nan
621,涉嫌构成犯罪的，移交司法机关依法追究刑事责任,涉嫌构成犯...,描述性措施,0.1635
1658,国家发展和改革委员会,国家发展和...,机构,nan
1147,北京市城市管理综合行政执法局,北京市城市...,机构,nan
1149,北京市人民政府行政审批制度改革办公室,北京市人民...,机构,nan
2689,北京市通信管理局,北京市通信...,机构,nan
3202,对因集群登记产生虚假登记情况严重或其他不适宜情况的区域，各区政府和管委会可以建立特别管理措施,对因集群登...,描述性措施,0.3360
2187,"加快推进企业开办全程网上办理，发布新版""e窗通""市级企业开办网上服务平台，实现""一窗办理，一次填报，一个环节，三天办完""，不断提高无纸化全程电子化登记系统的智能化和便利化水平，对标国际一流，努力营造稳定、公平、透明、可预期的营商环境",加快推进企...,描述性措施,1.2157
2702,北京市公安局公安交通管理局,北京市公安...,机构,nan
1176,中国人民银行营业管理部,中国人民银...,机构,nan
1705,北京市政务服务管理局,北京市政务...,机构,nan
3754,"加强政务服务窗口工作人员服务标准和服务规范培训，有效解决营商环境政策落地""最后一公里""问题",加强政务服...,描述性措施,0.4075
3252,为所有企业颁发载有市场主体身份信息的电子营业执照,为所有企业...,描述性措施,0.2967
1205,北京市人民防空办公室,北京市人民...,机构,nan
1737,北京市水务局,北京市水务...,机构,nan
1230,三、本市冷链食品生产经营单位应遵守“北京冷链”管理要求，保证上传追溯数据全面准确，确保消费者可通过便捷渠道查询产品追溯信息,三、本市冷...,描述性措施,5.4910
2256,第五条　实施市场主体登记实名认证管理,第五条　实...,描述性措施,0.1770
1237,海关总署,海关总署...,机构,nan
1749,市场主体登记机关对不适宜的市场主体名称，应当责令限期改正,市场主体登...,描述性措施,0.3359
2777,北京市城市管理委员会,北京市城市...,机构,nan
1761,(四)强化事中事后监管，营造稳定、公平、透明、可预期的营商环境,(四)强化...,总结性措施,1.5465
2283,"各区政府、各相关部门要做好宣传工作，采取各种形式,全方位、多角度开展政策解读和宣传引导，着力提高政策知晓度和参与度",各区政府、...,描述性措施,0.4609
3327,(二)推广电子证照服务，提升电子营业执照和统一社会信用代码的社会认知度,(二)推广...,总结性措施,0.5465
769,北京市商务局,北京市商务...,机构,nan
